Lat,Long,EIRP
26.28,60.77,47
26.38,60.77,47
14.68,60.87,47
14.78,60.87,47
14.88,60.87,47
14.98,60.87,47
15.08,60.87,47
15.18,60.87,47
15.28,60.87,47
15.38,60.87,47
15.48,60.87,47
15.58,60.87,47
15.68,60.87,47
15.78,60.87,47
15.88,60.87,47
15.98,60.87,47
16.08,60.87,47
16.18,60.87,47
16.28,60.87,47
16.38,60.87,47
16.48,60.87,47
16.58,60.87,47
16.68,60.87,47
16.78,60.87,47
16.88,60.87,47
16.98,60.87,47
17.08,60.87,47
17.18,60.87,47
17.28,60.87,47
17.38,60.87,47
17.48,60.87,47
17.58,60.87,47
17.68,60.87,47
17.78,60.87,47
17.88,60.87,47
17.98,60.87,47
18.08,60.87,47
18.18,60.87,47
18.28,60.87,47
18.38,60.87,47
18.48,60.87,47
18.58,60.87,47
18.68,60.87,47
18.78,60.87,47
18.88,60.87,47
18.98,60.87,47
19.08,60.87,47
19.18,60.87,47
19.28,60.87,47
19.38,60.87,47
19.48,60.87,47
19.58,60.87,47
19.68,60.87,47
19.78,60.87,47
19.88,60.87,47
19.98,60.87,47
20.08,60.87,47
20.18,60.87,47
20.28,60.87,47
20.38,60.87,47
20.48,60.87,47
20.58,60.87,47
20.68,60.87,47
20.78,60.87,47
20.88,60.87,47
20.98,60.87,47
21.08,60.87,47
21.18,60.87,47
21.28,60.87,47
21.38,60.87,47
21.48,60.87,47
21.58,60.87,47
21.68,60.87,47
21.78,60.87,47
21.88,60.87,47
21.98,60.87,47
22.08,60.87,47
22.18,60.87,47
22.28,60.87,47
22.38,60.87,47
22.48,60.87,47
22.58,60.87,47
22.68,60.87,47
22.78,60.87,47
22.88,60.87,47
22.98,60.87,47
23.08,60.87,47
23.18,60.87,47
23.28,60.87,47
23.38,60.87,47
23.48,60.87,47
23.58,60.87,47
23.68,60.87,47
23.78,60.87,47
23.88,60.87,47
23.98,60.87,47
24.08,60.87,47
24.18,60.87,47
24.28,60.87,47
24.38,60.87,47
24.48,60.87,47
24.58,60.87,47
24.68,60.87,47
24.78,60.87,47
24.88,60.87,47
24.98,60.87,47
25.08,60.87,47
25.18,60.87,47
25.28,60.87,47
25.38,60.87,47
25.48,60.87,47
25.58,60.87,47
25.68,60.87,47
25.78,60.87,47
25.88,60.87,47
25.98,60.87,47
26.08,60.87,47
26.18,60.87,47
26.28,60.87,47
26.38,60.87,47
26.48,60.87,47
26.58,60.87,47
14.38,60.97,47
14.48,60.97,47
14.58,60.97,47
